street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
ELMFIELD CRESCENT,6,3,1,4,4,30,missing,1996,313308,ELMFIELD AVENUE,missing,Corrán Ghort an Leamháin
ELMFIELD DRIVE,6,3,1,5,5,43,missing,1996,313308,ELMFIELD AVENUE,missing,Céide Ghort an Leamháin
ELMFIELD GREEN,6,3,1,5,5,120,missing,1996,313303,ELMFIELD GROVE,missing,Faiche Ghort an Leamháin
ELMFIELD GROVE,6,3,1,5,5,130,missing,1996,313303,ELMFIELD AVENUE,missing,Garrán Ghort an Leamháin
ELMFIELD LAWN,6,3,1,5,5,105,missing,0,313308,ELMFIELD AVENUE,missing,Plásóg Ghort an Leamháin
ELMFIELD PARK,6,3,1,5,5,68,missing,1996,313308,ELMFIELD AVENUE,missing,missing
ELMFIELD RISE,5,3,1,5,5,65,missing,1996,313303,ELMFIELD AVENUE,ELMFIELD WAY,missing
ELMFIELD VALE,6,3,1,5,5,50,missing,1996,313308,ELMFIELD AVENUE,missing,Gleann Ghort an Leamháin
ELMFIELD WALK,6,3,1,5,5,158,missing,1996,313303,ELMFIELD AVENUE,missing,Siúlán Ghort an Leamháin
ELMFIELD WAY,6,3,1,5,5,220,missing,1996,313303,ELMFIELD RISE,missing,Bealach Ghort an Leamháin
ELMWOOD AVENUE LOWER,6,5,3,8,21,118,missing,0,332901,RANELAGH,missing,missing
ELMWOOD AVENUE UPPER,6,5,3,8,21,114,missing,0,332901,RANELAGH,missing,missing
ELTON COURT,6,3,2,4,4,77,missing,0,313312,CLONROSSE DRIVE,missing,missing
ELTON DRIVE,6,3,2,4,4,93,missing,0,313307,SLADEMORE AVENUE,missing,missing
ELTON PARK,6,3,2,4,4,135,missing,0,313312,ELTON DRIVE,missing,missing
ELTON WALK,6,3,2,4,4,70,missing,0,313312,CLONROSSE DRIVE,missing,missing
ELY PLACE,4,5,1,18,10,56,missing,0,326411,MERRION ROW,ELY PLACE UPPER,missing
ELY PLACE,4,5,1,18,10,35,missing,0,326411,MERRION ROW,ELY PLACE UPPER,missing
ELY PLACE UPPER,4,5,1,18,10,35,missing,0,326411,ELY PLACE,missing,missing
EMERALD COTTAGES,7,5,2,16,29,88,missing,0,326412,GRAND CANAL STREET UPPER,missing,Iostáin Féarghlas
EMERALD PLACE,6,1,3,16,16,163,missing,0,326402,SEVILLE PLACE,SERRIFF STREET LOWER,Plás Féarghlas
EMERALD SQUARE,6,4,2,2,2,141,missing,0,326318,CORK STREET,missing,Cearnóg Féarghlas
EMERALD STREET,6,1,3,16,16,128,missing,0,326302,SERRIFF STREET LOWER,SEVILLE PLACE,Sráid Féarghlas
EMERALD TERRACE,6,4,2,7,7,35,missing,0,326302,CORK STREET,missing,An tArdán Féarghlas
EMMET ROAD,2,4,2,7,15,150,R810,0,326311,TYRCONNELL ROAD,SOUTH CIRCULAR ROAD,Bóthar Emmet
EMMET ROAD,2,4,1,7,15,748,R810,0,326311,TYRCONNELL ROAD,SOUTH CIRCULAR ROAD,Bóthar Emmet
EMMET STREET,6,5,2,12,25,81,missing,0,319816,MOUNT DRUMMOND AVENUE,HAROLD COTTAGES,Sráid Emmet
EMMET STREET,4,1,3,9,9,122,missing,0,,NORTH CIRCULAR ROAD,CHARLES ST,missing
EMOR STREET,6,5,1,11,3,135,missing,0,326320,AVOCA ROAD,SOUTH CIRCULAR ROAD,Sráid Eimhir
EMORVILLE AVENUE,6,5,1,11,3,202,missing,0,326319,LOMBARD STREET WEST,SOUTH CIRCULAR ROAD,Ascaill Eimhir
